OBJECTID,shortest_dist
100640,2194.96
100641,1760.97
100642,2162.05
100643,1683.01
100644,2013.46
100645,2141.99
100646,1601.33
100647,2106.94
100648,1847.34
100649,2077.32
100650,1556.01
100651,1623.43
100652,1780.88
100653,1733.24
100654,1725.43
100655,1721.06
100656,1656.96
100657,1728.87
100658,1729.94
100659,1939.1
100660,2007.09
100661,1753.55
100662,1604.3
100663,1782.11
100664,2184.37
100665,1636.29
100666,2110.99
100667,1628.18
100668,1782.78
100669,1616.7
100670,1967.27
100671,2073.18
100672,1839.04
100673,1741.7
100674,1751.74
100675,1600.32
100676,2103.27
100677,1729.15
100678,2096.29
100679,1760.12
100680,1852.42
100681,735.66
100682,1727.76
100683,1705.98
100684,491.81
100685,1421.9
100686,130.51
100687,1839.77
100688,1770.57
100689,402.63
100690,884.73
100691,1969.07
100692,2115.51
100693,1289.68
100694,1233.41
100695,1080.52
100696,1345.24
100697,2167.94
100698,1266.12
100699,720.99
100700,1850.65
100701,503.73
100702,1227.7
100703,1302.99
100704,911.01
100705,1845.1
100706,1972.36
100707,479.78
100708,1988.72
100709,2113.76
100710,1998.9
100711,1281.23
100712,406.46
100713,1744.38
100714,1655.31
100715,2108.32
100716,1863.9
100717,1717.46
100718,2115.25
100719,1701.33
100720,2250.49
100721,1828.22
100722,1757.47
100723,1754.1
100724,1173.77
100725,412.08
100726,1246.65
100727,2084.27
100728,1680.09
100729,1990.3
100730,1771.09
100731,2209.53
100732,1735.15
100733,1293.81
100734,1719.65
100735,1261.39
100736,2236.27
100737,1356.38
100738,2125.51
100739,2046.15
100740,1868.73
100741,1747.2
100742,1246.7
100743,2128.25
100744,1845.21
100745,1745.04
100746,2063.07
100747,2117.04
100748,2115.43
100749,2117.82
100750,371.8
100751,161.29
100752,1704.58
100753,1277.95
100754,2123.43
100755,2126.67
100756,796.04
100757,2142.48
100758,1724.89
100759,1637.4
100760,1385.88
100761,1597.51
100762,1238.12
100763,1328.98
100764,188.36
100765,1714.23
100766,1240.7
100767,1261.57
100768,1246.06
100769,206.27
100770,2120.42
100771,1589.64
100772,406.9
100773,482.67
100774,381.22
100775,1841.36
100776,1248.38
100777,1710.14
100778,1851.89
100779,816.1
100780,1700.08
100781,1607.8
100782,1171.02
100783,1118.53
100784,1656.45
100785,1828.96
100786,1624.28
100787,2104.18
100788,204.2
100789,1227.17
100790,1359.63
100791,2112.68
100792,1332.98
100793,1784.07
100794,1353.86
100795,1253.38
100796,2186.69
100797,1283.99
100798,936.38
100799,739.73
100800,1031.31
100801,1769.89
100802,1705.22
100803,1750.97
100804,1872.97
100805,1912.0
100806,1248.89
100807,644.88
100808,1835.35
100809,2079.31
100810,1704.09
