site_number,parameter_code,sample_duration,date_local,aqi
0012,81102,24-HR BLK AVG,2004-06-11,27
0012,81102,24-HR BLK AVG,2004-06-12,26
0012,81102,24-HR BLK AVG,2004-06-13,28
0012,81102,24-HR BLK AVG,2004-06-14,35
0012,81102,24-HR BLK AVG,2004-06-15,70
0012,81102,24-HR BLK AVG,2004-06-16,43
0012,81102,24-HR BLK AVG,2004-06-17,24
0012,81102,24-HR BLK AVG,2004-06-18,25
0012,81102,24-HR BLK AVG,2004-06-19,24
0012,81102,24-HR BLK AVG,2004-06-20,27
0012,81102,24-HR BLK AVG,2004-06-21,32
0012,81102,24-HR BLK AVG,2004-06-22,16
0012,81102,24-HR BLK AVG,2004-06-23,27
0012,81102,24-HR BLK AVG,2004-06-24,28
0012,81102,24-HR BLK AVG,2004-06-25,51
0012,81102,24-HR BLK AVG,2004-06-26,33
0012,81102,24-HR BLK AVG,2004-06-27,36
0012,81102,24-HR BLK AVG,2004-06-28,54
0012,81102,24-HR BLK AVG,2004-06-29,44
0012,81102,24-HR BLK AVG,2004-06-30,39
0012,81102,24-HR BLK AVG,2004-07-01,23
0012,81102,24-HR BLK AVG,2004-07-02,26
0012,81102,24-HR BLK AVG,2004-07-03,29
0012,81102,24-HR BLK AVG,2004-07-04,27
0012,81102,24-HR BLK AVG,2004-07-05,23
0012,81102,24-HR BLK AVG,2004-07-06,35
0012,81102,24-HR BLK AVG,2004-07-08,27
0012,81102,24-HR BLK AVG,2004-07-09,14
0012,81102,24-HR BLK AVG,2004-07-10,19
0012,81102,24-HR BLK AVG,2004-07-11,19
0012,81102,24-HR BLK AVG,2004-07-12,43
0012,81102,24-HR BLK AVG,2004-07-13,34
0012,81102,24-HR BLK AVG,2004-07-14,26
0012,81102,24-HR BLK AVG,2004-07-15,24
0012,81102,24-HR BLK AVG,2004-07-16,28
0012,81102,24-HR BLK AVG,2004-07-17,21
0012,81102,24-HR BLK AVG,2004-07-18,30
0012,81102,24-HR BLK AVG,2004-07-19,31
0012,81102,24-HR BLK AVG,2004-07-20,23
0012,81102,24-HR BLK AVG,2004-07-21,35
0012,81102,24-HR BLK AVG,2004-07-22,36
0012,81102,24-HR BLK AVG,2004-07-23,31
0012,81102,24-HR BLK AVG,2004-07-24,29
0012,81102,24-HR BLK AVG,2004-07-25,21
0012,81102,24-HR BLK AVG,2004-07-26,29
0012,81102,24-HR BLK AVG,2004-07-27,26
0012,81102,24-HR BLK AVG,2004-07-28,42
0012,81102,24-HR BLK AVG,2004-07-29,36
0012,81102,24-HR BLK AVG,2004-07-30,22
0012,81102,24-HR BLK AVG,2004-08-02,22
0012,81102,24-HR BLK AVG,2004-08-03,19
0012,81102,24-HR BLK AVG,2004-08-04,26
0012,81102,24-HR BLK AVG,2004-08-05,26
0012,81102,24-HR BLK AVG,2004-08-06,39
0012,81102,24-HR BLK AVG,2004-08-07,29
0012,81102,24-HR BLK AVG,2004-08-08,29
0012,81102,24-HR BLK AVG,2004-08-09,44
0012,81102,24-HR BLK AVG,2004-08-10,31
0012,81102,24-HR BLK AVG,2004-08-11,31
0012,81102,24-HR BLK AVG,2004-08-12,33
0012,81102,24-HR BLK AVG,2004-08-13,24
0012,81102,24-HR BLK AVG,2004-08-14,21
0012,81102,24-HR BLK AVG,2004-08-15,25
0012,81102,24-HR BLK AVG,2004-08-16,16
0012,81102,24-HR BLK AVG,2004-08-17,26
0012,81102,24-HR BLK AVG,2004-08-18,27
0012,81102,24-HR BLK AVG,2004-08-19,23
0012,81102,24-HR BLK AVG,2004-08-20,33
0012,81102,24-HR BLK AVG,2004-08-21,16
0012,81102,24-HR BLK AVG,2004-08-22,19
0012,81102,24-HR BLK AVG,2004-08-23,25
0012,81102,24-HR BLK AVG,2004-08-24,20
0012,81102,24-HR BLK AVG,2004-08-25,27
0012,81102,24-HR BLK AVG,2004-08-26,29
0012,81102,24-HR BLK AVG,2004-08-27,35
0012,81102,24-HR BLK AVG,2004-08-28,27
0012,81102,24-HR BLK AVG,2004-08-29,24
0012,81102,24-HR BLK AVG,2004-08-30,43
0012,81102,24-HR BLK AVG,2004-08-31,52
0012,81102,24-HR BLK AVG,2004-09-01,43
0012,81102,24-HR BLK AVG,2004-09-02,62
0012,81102,24-HR BLK AVG,2004-09-03,40
0012,81102,24-HR BLK AVG,2004-09-04,19
0012,81102,24-HR BLK AVG,2004-09-05,21
0012,81102,24-HR BLK AVG,2004-09-06,29
0012,81102,24-HR BLK AVG,2004-09-07,39
0012,81102,24-HR BLK AVG,2004-09-08,43
0012,81102,24-HR BLK AVG,2004-09-09,75
0012,81102,24-HR BLK AVG,2004-09-10,17
0012,81102,24-HR BLK AVG,2004-09-11,19
0012,81102,24-HR BLK AVG,2004-09-12,13
0012,81102,24-HR BLK AVG,2004-09-13,30
0012,81102,24-HR BLK AVG,2004-09-14,40
0012,81102,24-HR BLK AVG,2004-09-15,29
0012,81102,24-HR BLK AVG,2004-09-16,31
0012,81102,24-HR BLK AVG,2004-09-17,32
0012,81102,24-HR BLK AVG,2004-09-18,28
0012,81102,24-HR BLK AVG,2004-09-19,31
0012,81102,24-HR BLK AVG,2004-09-20,25
0012,81102,24-HR BLK AVG,2004-09-21,31
0012,81102,24-HR BLK AVG,2004-09-22,23
0012,81102,24-HR BLK AVG,2004-09-23,27
0012,81102,24-HR BLK AVG,2004-09-24,27
0012,81102,24-HR BLK AVG,2004-09-25,30
0012,81102,24-HR BLK AVG,2004-09-26,19
0012,81102,24-HR BLK AVG,2004-09-27,29
0012,81102,24-HR BLK AVG,2004-09-28,49
0012,81102,24-HR BLK AVG,2004-09-29,32
0012,81102,24-HR BLK AVG,2004-09-30,32
0012,81102,24-HR BLK AVG,2004-10-01,36
0012,81102,24-HR BLK AVG,2004-10-02,31
0012,81102,24-HR BLK AVG,2004-10-03,28
0012,81102,24-HR BLK AVG,2004-10-04,43
0012,81102,24-HR BLK AVG,2004-10-05,39
0012,81102,24-HR BLK AVG,2004-10-06,46
0012,81102,24-HR BLK AVG,2004-10-07,41
0012,81102,24-HR BLK AVG,2004-10-08,42
0012,81102,24-HR BLK AVG,2004-10-09,58
0012,81102,24-HR BLK AVG,2004-10-10,38
0012,81102,24-HR BLK AVG,2004-10-11,27
0012,81102,24-HR BLK AVG,2004-10-12,20
0012,81102,24-HR BLK AVG,2004-10-13,28
0012,81102,24-HR BLK AVG,2004-10-14,47
0012,81102,24-HR BLK AVG,2004-10-15,34
0012,81102,24-HR BLK AVG,2004-10-16,36
0012,81102,24-HR BLK AVG,2004-10-17,27
0012,81102,24-HR BLK AVG,2004-10-18,12
0012,81102,24-HR BLK AVG,2004-10-19,21
0012,81102,24-HR BLK AVG,2004-10-20,2
0012,81102,24-HR BLK AVG,2004-10-21,3
0012,81102,24-HR BLK AVG,2004-10-22,9
0012,81102,24-HR BLK AVG,2004-10-25,18
0012,81102,24-HR BLK AVG,2004-10-26,20
0012,81102,24-HR BLK AVG,2004-10-27,1
0012,81102,24-HR BLK AVG,2004-10-28,7
